population,fertility,HIV,CO2,BMI_male,GDP,BMI_female,life,child_mortality
3.48E+07,2.73,0.1,3.328945,24.5962,12314,129.9049,75.3,29.5
1.98E+07,6.43,2,1.474353,22.25083,7103,130.1247,58.3,192
4.04E+07,2.24,0.5,4.78517,27.5017,14646,118.8915,75.5,15.4
2.98E+06,1.4,0.1,1.804106,25.35542,7383,132.8108,72.5,20
2.14E+07,1.96,0.1,18.016313,27.56373,41312,117.3755,81.5,5.2
8.33E+06,1.41,0.3,8.18316,26.46741,43952,124.1394,80.4,4.6
8.87E+06,1.99,0.1,5.109538,25.65117,14365,128.6024,70.6,43.3
3.49E+05,1.89,3.1,3.131921,27.24594,24373,124.3862,72.2,14.5
1.48E+08,2.38,0.06,0.319161,20.39742,2265,125.0307,68.4,55.9
2.77E+05,1.83,1.3,6.008279,26.38439,16075,126.394,75.3,15.4
9.53E+06,1.42,0.2,6.488174,26.16443,14488,129.7968,70.1,7.2
1.08E+07,1.82,0.2,9.797337,26.75915,41641,121.8227,79.4,4.7
3.06E+05,2.91,2.4,1.360126,27.02255,8293,120.9224,70.7,20.1
8.97E+06,5.27,1.2,0.537539,22.41835,1646,130.2723,63.2,116.3
6.95E+05,2.51,0.2,0.60121,22.8218,5663,125.1258,67.6,48.1
9.60E+06,3.48,0.2,1.431829,24.43335,5066,122.4155,70.9,52
1.97E+06,2.86,24.9,2.547205,22.12984,13858,133.1307,61.2,63.8
1.95E+08,1.9,0.45,2.023773,25.78623,13906,124.8745,73.9,18.6
7.51E+06,1.43,0.1,6.690139,26.54286,15368,128.4721,73.2,13.7
1.47E+07,6.04,1.2,0.109419,21.27157,1358,130.6651,59.4,130.4
8.82E+06,6.48,3.5,0.031389,21.50291,723,134.1955,57.4,108.6
1.39E+07,3.05,0.6,0.287547,20.80496,2442,117.5528,66.2,51.5
1.96E+07,5.17,5.3,0.295542,23.68173,2571,127.2823,56.6,113.8
3.34E+07,1.68,0.2,16.350399,27.4521,41468,118.0571,80.7,5.8
1.11E+07,6.81,3.4,0.047839,21.48569,1753,127.864,54.8,168
1.66E+07,1.89,0.4,4.240259,27.01542,18698,125.5417,78.9,8.9
4.49E+07,2.43,0.5,1.476092,24.94041,10489,124.0235,75.1,19.7
6.65E+05,5.05,0.06,0.178853,22.06131,1440,132.1354,62.6,91.2
3.83E+06,5.1,3.5,0.38422,21.87134,5022,131.6935,58.6,72.6
4.43E+06,1.91,0.3,1.911933,26.47897,12219,121.35,79.7,10.3
1.93E+07,4.91,3.7,0.361897,22.56469,2854,131.5237,55.9,116.9
4.34E+06,1.43,0.06,5.287903,26.59629,21873,130.3921,76.5,5.9
1.13E+07,1.5,0.1,2.701777,25.06867,17765,126.0594,77.8,6.3
5.50E+06,1.89,0.2,8.541508,26.13287,45017,119.5815,78.7,4.3
8.10E+05,3.76,2.6,0.6128,23.38403,2502,129.3376,61,81
1.44E+07,2.73,0.4,2.110518,25.58841,9244,122.9864,74,26.8
7.90E+07,2.95,0.06,2.512394,26.73243,9974,125.0931,70.1,31.4
6.00E+06,2.32,0.8,1.067765,26.36751,7450,119.9321,74.1,21.6
6.86E+05,5.31,4.7,6.798253,23.7664,40143,132.0392,56.7,118.4
4.50E+06,5.16,0.8,0.083746,20.88509,1088,125.7948,60.4,60.4
1.34E+06,1.62,1.2,13.031379,26.26446,24743,129.5161,74,5.5
8.43E+05,2.74,0.1,1.27778,26.53078,7129,127.4768,65.7,24
5.31E+06,1.85,0.1,10.644114,26.73339,42122,126.5645,79.4,3.3
6.23E+07,1.97,0.4,5.999021,25.85329,37505,120.0146,81,4.3
1.47E+06,4.28,5.3,1.079539,24.0762,15800,130.3625,57.5,68
1.59E+06,5.8,1.7,0.251002,21.65029,1566,130.208,62.2,87.4
4.34E+06,1.79,0.1,1.41943,25.54942,5900,130.5789,72.1,19.3
8.07E+07,1.37,0.1,9.497247,27.16509,41199,124.9044,80,4.4
2.31E+07,4.19,1.8,0.366601,22.84247,2907,128.2953,62.7,79.9
1.12E+07,1.46,0.1,8.661236,26.33786,32197,122.9342,79.5,4.9
1.41E+07,4.12,0.8,0.835595,25.29947,6960,120.9596,70.8,36.9
1.04E+07,5.34,1.4,0.126964,22.52449,1230,132.2765,58.3,121
1.56E+06,5.25,2.5,0.156376,21.64338,1326,130.7627,51.3,127.6
7.48E+05,2.74,1.2,2.073415,23.68465,5208,125.1512,63,41.9
9.71E+06,3.5,2,0.249307,23.66302,1600,125.3461,61.7,83.3
7.26E+06,3.27,0.8,1.187454,25.10872,4391,122.9621,70.9,26.5
1.01E+07,1.33,0.06,5.453232,27.11568,23334,128.6968,73.8,7.2
3.10E+05,2.12,0.3,6.821903,27.20687,42294,118.7381,82,2.7
1.20E+09,2.64,0.32,1.520849,20.95956,3901,123.1274,64.4,65.6
